,Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Focal Depth (km),Deposits,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Damage ($Mil),Damage Description
89,1802,8,15,3.0,1.0,7.1,29.0,0,VENEZUELA,NA,74.0,CUMANA,10.3,-64.5,1.0,1,0.8,1.0,0,1.0,0.0,1.0
90,1802,8,0,2.0,1.0,7.1,29.0,0,INDONESIA,NA,83.0,BANDA SEA,-3.7,128.2,1.0,1,1.0,1.5,0,1.0,0.0,2.0
91,1802,10,26,2.0,1.0,7.4,150.0,0,ROMANIA,NA,40.0,BLACK SEA,45.7,26.6,1.0,0,0.8,1.0,0,1.0,0.0,1.0
92,1802,11,7,3.0,1.0,7.1,29.0,0,ALGERIA,NA,50.0,HARBOUR OF ALGIERS,36.5,2.9,1.0,1,0.8,2.0,0,1.0,0.0,1.0
93,1802,12,9,4.0,1.0,6.6,29.0,0,JAPAN,NA,85.0,NW. HONSHU ISLAND,37.7,138.3,1.0,1,0.0,1.0,0,1.0,0.0,1.0
94,1804,1,13,4.0,1.0,6.7,29.0,0,SPAIN,NA,50.0,ALBORAN SEA,36.083,-3.583,1.0,2,0.8,2.0,0,1.0,0.0,1.0
95,1804,6,8,2.0,1.0,6.7,29.0,0,GREECE,NA,50.0,CORINTHOS-PATRAS GULF,38.3,21.8,1.0,1,0.8,3.0,0,1.0,0.0,1.0
96,1804,7,10,4.0,1.0,7.3,29.0,0,JAPAN,NA,85.0,NW. HONSHU ISLAND,39.05,139.95,1.0,2,0.5,1.0,0,3.0,0.0,2.0
97,1804,7,31,2.0,0.0,7.1,29.0,0,ITALY,NA,50.0,BAY OF NAPLES,41.21478508771931,12.742085087719296,1.0,1,0.8,3.0,0,1.0,0.0,1.0
98,1805,5,8,3.0,0.0,7.1,29.0,0,AUSTRALIA,NA,81.0,NORFOLK ISLAND,-29.06,167.95,5.0,1,0.8,1.0,0,1.0,0.0,1.0
99,1805,7,26,4.0,1.0,6.6,29.0,0,ITALY,NA,50.0,CAMPANIA,41.5,14.467,1.0,1,0.8,2.0,0,1.0,0.0,1.0
100,1806,3,25,2.0,1.0,7.1,29.0,0,USA,CA,88.0,"SANTA BARBARA, S. CALIFORNIA",34.4,-119.7,1.0,1,0.8,1.0,0,1.0,0.0,1.0
101,1806,8,26,2.0,1.0,7.1,29.0,0,ITALY,NA,50.0,TERRACINA,41.7,12.7,1.0,1,0.8,2.0,0,1.0,0.0,1.0
102,1806,12,1,3.0,1.0,7.5,29.0,0,PERU,NA,89.0,CENTRAL PERU,-12.1,-77.1,1.0,1,0.8,0.5,0,1.0,0.0,1.0
103,1806,0,0,2.0,0.0,7.1,29.0,0,FRENCH POLYNESIA,NA,81.0,NUKU HIVA ISLAND,-9.0,-139.0,1.5,1,0.8,1.0,0,1.0,0.0,1.0
